id,country,state,city,station,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
711,India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",NO2,4,4,4
714,India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",PM10,54,122,82
720,India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",PM10,NA,NA,NA
725,India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",PM2.5,58,135,84
727,India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",NO2,20,59,29
731,India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",PM10,44,48,46
733,India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",NH3,7,8,7
735,India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",CO,20,22,21
739,India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",NH3,5,46,8
740,India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",SO2,NA,NA,NA
741,India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",CO,20,34,32
744,India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",PM10,60,126,89
750,India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",NO2,3,5,4
751,India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",NH3,1,1,1
753,India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",CO,82,104,86
765,India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",CO,5,24,9
767,India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",PM2.5,40,86,62
777,India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",CO,NA,NA,NA
